,모집직종,직무내용,경력조건,학력,전공,자격면허,우대조건
0,게임개발자,-,경력 (최소 5년 이상),학력무관,-,-,-
1,C·C++,"[담당업무] • 컴퓨터 비전 및 AI 분야 논문 조사 및 요약 • DCNN 기반 영상처리 AI 엔진 개발 혹은 RNN 기반 신호처리 AI 엔진 개발 • AI 학습 데이터 관련 유틸리티 스크립트 및 툴 개발 [자격 요건] • 학력: 석사 이상 • 전공: 이공계(자연계열, 공학계열) [필수 요건 및 우대 사항] [필수 요건] A항목 A-1) 이공계 분야에서 석사 졸업 이상 A-2) C/C++ 혹은 Python 언어에 능숙한 사람 [우대 사항] B항목 B-1) 컴퓨터 비전 혹은 AI 관련 학회에 제1저자로 논문 게재 B-2) 영어 논문 및 기술자료를 읽고 분석할 수 있는 외국어 문해력을 보유한 사람 B-3) Git 사용에 능숙한 사람 B-4) OpenCV 사용에 능숙한 사람 B-5) CUDA 사용에 능숙한 사람 B-6) OOP 개념에 익숙한 사람 B-7) CI/CD를 구축한 경험이 있는 사람 B-8) Rasberry Pi, NVIDIA Jetson 보드 등을 사용해본 경험이 있는 사람 B-9) 기계적 매커니즘이 포함된 장치를 만들어 본 경험이 있는 사람","신입, 경력 (연수무관)",석사,-,-,-
2,-,"AI Technical Senior/AI 분석,모델링,AI서비스기획,설계,클라우드 사업 기획 컨설턴트 과차장급 7명",경력 (최소 1년 이상),학력무관,-,-,-
3,그 외 프로그래밍언어 전문가,"###긴급) AI/ML Engineer(추천 서비스) -업계 최고 대기업 -최우대###- 업계 1~2위에 소비재 대기업- 근무분위기 Good, 복리후생이나 연차제도 잘 되어있음.- 만족도 후기 높은회사임.▶ 포지션 :AI/ML Engineer(추천 서비스)▶ 업무내용-Generative AI 등 AI/ML 기술을 활용하여 다양한 서비스를 개발합니다.- 사용자의 선호도를 기반으로상품, 콘텐츠 등을추천하는 AI 기술을 개발합니다.-데이터 분석, 모델 개발 및 평가합니다.-ML 파이프라인 구축하고 운영합니다.-뷰티도메인에 특화된 AI/ML/DL 모델을 최적화하고 고도화합니다.▶ 자격요건- 경력:AI/ML 관련된 경험이 2년 이상있으신 분- 학위: 학사 이상(컴퓨터 공학, 수학, 통계 등 관련 전공하신 분)-Python, TensorFlow, PyTorch, scikit-learn 등 AI/ML 관련된 프로그래밍 언어 및 라이브러리에 능숙하신 분을 찾습니다.-데이터 분석, 머신러닝에 대한 기본적인 지식을 갖추시고 관련실무 경험이 있으신 분을 찾습니다.-AWS 등 클라우드 환경에서 AI/ML 서비스를 실제 개발하시거나 MLOps 실무 경험이 있으신 분을 찾습니다.- 협업 및 커뮤니케이션 능력이 우수하신 분을 찾습니다.▶ 우대사항-Recommendation 분야에 직접적인 실무 경험이 있으시면 좋아요.-AI/ML 또는 디지털 서비스 개발 관련 전체 업무 경력이 6년 이상있으시면 좋아요.-뷰티 산업에 대한 이해와 경험이 있으시면 좋아요.▶ 근무지 : 서울※※ 빠른 지원 부탁드립니다. 적임자 지원시 바로 마감예정. 조기마감 예상~!!! ((""현재 진행중""))인 공고임 ※※【 연봉 】협의 가능 (적임자 최우대)【 전형절차 】서류전형 후 면접전형【 제출서류 】**********************************************************★ 국문이력서, 경력기술서, 자기소개서 ...... MS WORD로 작성 후 1개의 화일로 송부 바랍니다.★ 제출처 : jamie @ humarain.co.kr★ 문의처 : Jamie ( 010-8677-4401 )※ 반드시 이력서 송부 후 가급적 이메일로 문의부탁드립니다. (잦은 미팅과 출장으로 통화가 어렵습니다.)1. 지원전 회사오픈은 어렵습니다.2. 적임(잡포탈지원 포함)자에 한해 개별 연락 예정이오니 많은 양해부탁드립니다.**********************************************************※※ 반드시, 사진必, 생년월일, 업무상강점, 주요업무성과, 경력업체소개(매출,인원,업종 등) 현재/희망연봉, 이직가능시기 기재要 ※※※※ 이력서 기재내용 및 제출서류에 허위사실이 확인되는 경우 합격이 취소될 수 있습니다. ※※",경력 (최소 24개월 이상),학력무관,-,-,-
4,"C/C++,Java","[AI플랫폼팀 소개] * AI플랫폼팀은 자사 솔루션을 제품화하는데 있어서의 연구개발과 운영을 수행하며, 와이즈넛의 인공지능SW를 고객에게 제공하기 위한 플랫폼 기술을 연구하고 개발합니다. 또한, 와이즈넛 솔루션 개발/운영을 위한 AI플랫폼을 설계하고, 플랫폼 환경에서 다양한 와이즈넛 인공지능 솔루션을 연결하는 공통 서비스를 개발합니다. [담당업무] - MSA(Micro service Architecture)기반의 제품 개발/운영 플랫폼 설계 - AI플랫폼 환경에서 개발을 위한 다양한 기술 검증 및 내부 기술 표준 수립 - AI플랫폼 대상의 개발 및 배포(CI/CD) 기술 연구 - 인증, 로깅, 분석/시각화, 모니터링등 플랫폼 공통 서비스 개발 - Cloud Native 기반의 내부 개발/테스트 인프라 관리/운영 (DevOps) - 인공지능 관련 R&D 연구 과제 수행","신입, 경력 (연수무관)",석사,-,-,"- 최신 기술 트렌드에 관심이 많은 분
- MSA(Micro Service Architecture)에 대한 이해 또는 설계 경험이 있으신 분
- Elastic search 또는 ELK/EFK Stack 사용 경험이 있으신 분
- AWS, GCP, Azure와 같은 클라우드 서비스 환경에 대한 경험이 있으신 분
- AWS Sage Maker, Azure ML studio, Google Cloud AI등 MLOps 플랫폼 환경에서 설계 또는 활용 경험이 있으신 분
- Kubeflow, MLflow등의 플랫폼 경험이 있으신 분
- Github Action 또는 Gitlab CI/CD, Jenkins등 CI/CD 환경에서 개발/운영 경험"
5,건축설비,"오토시맨틱스는 산업용 AI 전문회사로 건물 분야 EMS(Energy Management System)와 AI기반 관제센터를 주력 사업화하고 있습니다. 저희는 건물의 설비를 AI기반으로 제어하여 건물의 에너지를 절감하고, 쾌적도를 높이고, 안전성을 증가시키려고 합니다. 백화점, 쇼핑몰, 전시장, 대형오피스, 연구소, 점포 등 다양한 건물에서 실증하였으며, 계속해서 서비스하는 건물의 수를 늘려가고 있습니다. 회사는 성수역에 위치하고 있으며 20대와 30대로 구성되어 있으며, 이 분야 국내 최고의 기술회사입니다. 연구자는 크게 아래와 같은 분야의 업무에서 일하게 됩니다. 1) AI 분야 - 설비 모델링, 제어 등 2) 소프트웨어 분야 - 플랫폼 소프트웨어 개발, chat GPT 연동 등","신입, 경력 (연수무관)",석사,-,-,유사 분야 학위 또는 프로젝트경험
6,-,- AI/빅데이터/클라우드 인프라 클러스터 구성 및 운영 - AI/빅데이터/클라우드 아키텍처 설계 및 구축,경력 (최소 5년 이상),학력무관,-,-,-
7,-,- AI/빅데이터/클라우드 관련 비즈니스 모델 발굴 - AI/빅데이터/클라우드 과제 관리 및 팀 운영,경력 (최소 10년 이상),학력무관,-,-,-
8,S/W 엔지니어,"안녕하세요, AI 인프라 소프트웨어를 개발하고 있는 주식회사 MOREH 입니다. 모레는 강남역에 위치하고 있으며 현재 구성원은 약 75명 입니다. 대부분 개발 조직으로 구성되어 있으며 AI 분야의 뛰어난 동료들과 함께 일하고 있습니다. 모레에서 상반기 경력 & 전문연구요원 채용을 진행하고 있으니 많은 관심 바랍니다. - Backend 엔지니어 - Compiler 엔지니어 - GPU 소프트웨어 엔지니어 - Sys Ops 엔지니어 - System 소프트웨어 엔지니어 Moreh에 대한 소개와 지원방법은 노션 채용 사이트를 통해 확인해주세요. (https://www.notion.so/moreh/Moreh-Careers-04b1430ade34474495ed5ed9475108a9) 지원과 관련하여 문의사항이 있는 경우, 노션 채용페이지를 통해 연락주세요 :) 감사합니다.",경력 (최소 3년 이상),대졸(4년),-,-,"- AI 애플리케이션과 이를 실행하기 위한 시스템 소프트웨어(PyTorch, CUDA 등)에 대한 이해
- 딥 러닝에 대한 기본적인 지식, 인공신경망 모델을 직접 구현해 본 경험
- 컴퓨터 시스템에 대한 깊은 이해"
9,-,빅데이터/AI,무관,학력무관,-,-,-
